Open time, Read time, Write time, Close time
12119075.000000,1700.000000,651209.000000,370206.000000
3129545.000000,1500.000000,601708.000000,9100.000000
1377320.000000,2100.000000,486607.000000,159702.000000
3553551.000000,1300.000000,601709.000000,311704.000000
